,wikipedia_page,webpage
1,http://en.wikipedia.org/wiki/Musixmatch,http://www.musixmatch.com/
2,http://en.wikipedia.org/wiki/Resident_Advisor,https://www.residentadvisor.net
3,http://en.wikipedia.org/wiki/Shazam_(service),//www.shazam.com/
4,http://en.wikipedia.org/wiki/Songkick,http://www.songkick.com/
5,http://en.wikipedia.org/wiki/Soundcloud,https://soundcloud.com
6,http://en.wikipedia.org/wiki/Spotify,https://www.spotify.com
7,http://en.wikipedia.org/wiki/WIMP_(music_streaming_service),http://www.wimpmusic.com
8,http://en.wikipedia.org/wiki/Kobalt_Label_Services,https://www.kobaltmusic.com/services/recordingsKobaltMusic.com
9,http://en.wikipedia.org/wiki/Sonos,http://www.sonos.com/
10,http://en.wikipedia.org/wiki/Ableton,http://www.ableton.com
11,http://en.wikipedia.org/wiki/Last.fm,http://www.last.fm
12,http://en.wikipedia.org/wiki/Warner_music,http://www.wmg.com
13,http://en.wikipedia.org/wiki/Bmg,http://www.bmg.com
14,http://en.wikipedia.org/wiki/Universal_Music_Group,http://universalmusic.com
15,http://en.wikipedia.org/wiki/Sony_Music,http://sonymusic.com
16,http://en.wikipedia.org/wiki/ITunes,https://www.apple.com/itunes/
17,http://en.wikipedia.org/wiki/Amazon.com,http://Amazon.com
